Sessao; Data; Tipo do Objeto; Pontos; Membro 
2;2/28/2024 7:31:41 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:42 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:34:28 PM;Alvo;25;Right_Arm
2;2/28/2024 7:34:30 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:34:32 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:34:34 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:34:36 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:34:38 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:34:40 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:34:42 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:34:44 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:42:26 PM;Alvo;25;Right_Arm
2;2/28/2024 7:42:28 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:42:30 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:42:32 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:42:34 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:42:36 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:42:38 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:42:40 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:42:41 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:44:22 PM;Alvo;25;Right_Arm
2;2/28/2024 7:44:24 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:44:26 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:44:28 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:44:30 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:44:32 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:44:34 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:44:36 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:44:38 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:52:09 PM;Alvo;25;Right_Arm
2;2/28/2024 7:52:11 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:52:13 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:52:15 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:52:29 PM;Alvo;25;Right_Arm
2;2/28/2024 7:54:39 PM;Alvo;25;Right_Arm
2;2/28/2024 7:54:41 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:54:43 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:54:45 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:52:29 PM;Alvo;25;Right_Arm
2;2/29/2024 3:53:00 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:53:12 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:56:49 PM;Alvo;25;Right_Arm
2;2/29/2024 3:56:51 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:56:53 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:56:55 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:56:57 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:56:59 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:01 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:03 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:04 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:15 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:17 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:19 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:21 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:23 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:25 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:27 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:29 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:31 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:42 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:44 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:49 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:51 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:53 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:55 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:57:57 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:57:59 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:58:01 PM;Alvo;1.333333;Left_Arm
2;2/29/2024 3:58:13 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:58:15 PM;Alvo;1.333333;Right_Arm
2;2/29/2024 3:58:17 PM;Alvo;1.333333;Right_Arm
