Sessao; Data; Tipo do Objeto; Pontos; Membro 
3;04/08/2023 14:44:00;Alvo;1,388889;Left_Arm
3;04/08/2023 14:44:48;Alvo;1,388889;Right_Arm
3;04/08/2023 14:44:54;Alvo;1,388889;Left_Arm
3;04/08/2023 14:45:00;Alvo;1,388889;Right_Arm
3;04/08/2023 14:45:06;Alvo;1,388889;Left_Arm
3;04/08/2023 14:45:12;Alvo;1,388889;Right_Arm
3;04/08/2023 14:45:18;Alvo;1,388889;Left_Arm
3;04/08/2023 14:45:24;Alvo;1,388889;Right_Arm
3;04/08/2023 14:45:36;Alvo;1,388889;Left_Arm
9;04/08/2023 14:46:59;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:00;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:01;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:02;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:03;Alvo;1,333333;Left_Arm
9;04/08/2023 14:47:04;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:05;Alvo;1,333333;Left_Arm
9;04/08/2023 14:47:06;Alvo;1,333333;Right_Arm
9;04/08/2023 14:47:08;Alvo;1,333333;Left_Arm
